message;meeting_id;employee_id;status
;1;1;ACCEPTED
Присутствие необязательно;1;2;PENDING
Требуется ваше присутствие для обсуждения CI/CD;2;2;ACCEPTED
;2;1;ACCEPTED
;3;1;ACCEPTED
Необходимо ваше участие в планировании;3;7;ACCEPTED
Жду вас на встрече;3;14;ACCEPTED
Присутствие обязательно;3;6;ACCEPTED
Нужен ваш опыт;3;13;PENDING
;4;7;ACCEPTED
Нужна помощь с ревью кода;4;14;ACCEPTED
Жду вашего фидбека;4;6;ACCEPTED
Приглашаю на обзор кода;4;1;ACCEPTED
;5;3;ACCEPTED
Приглашаю на обсуждение стратегии;5;9;ACCEPTED
Ваше мнение важно;5;1;ACCEPTED
;6;4;ACCEPTED
Нужен ваш фидбек по дизайну;6;10;ACCEPTED
Было бы здорово увидеть вас;6;3;PENDING
Приглашаю на презентацию;6;1;ACCEPTED
;7;1;ACCEPTED
Присутствие на стендапе обязательно;7;6;ACCEPTED
Жду всех на встрече;7;7;ACCEPTED
Не пропустите стендап;7;13;ACCEPTED
Нужен ваш репорт;7;14;ACCEPTED
;8;5;ACCEPTED
Важная встреча по тестированию;8;8;ACCEPTED
Приглашаю обсудить тест-кейсы;8;1;ACCEPTED
;9;2;ACCEPTED
Обсудим обновление инфраструктуры;9;1;ACCEPTED
Нужна ваша экспертиза;9;7;ACCEPTED
;10;1;ACCEPTED
Важно присутствие всех на ретро;10;6;ACCEPTED
Поделитесь вашим мнением;10;7;ACCEPTED
Обсудим итоги спринта;10;13;ACCEPTED
Жду вас на ретроспективе;10;14;PENDING
;11;1;ACCEPTED
Приглашаю архитекторов на обсуждение;11;7;ACCEPTED
Важна ваша экспертиза;11;14;ACCEPTED
Нужно обсудить архитектуру;11;2;ACCEPTED
;12;6;ACCEPTED
Приглашаю на синхронизацию;12;1;ACCEPTED
Обсудим UI компоненты;12;4;PENDING
;13;11;ACCEPTED
Важная встреча по кадрам;13;12;ACCEPTED
Обсудим планы найма;13;1;ACCEPTED
;14;13;ACCEPTED
Приглашаю на обсуждение релиза;14;15;ACCEPTED
Нужно обсудить новый релиз приложения;14;1;ACCEPTED
Ваше мнение критически важно;14;6;ACCEPTED
;15;3;ACCEPTED
Приглашаю на планирование кампании;15;9;ACCEPTED
Жду вас на стратегической встрече;15;1;ACCEPTED
;16;4;ACCEPTED
Нужен ваш фидбек по дизайн-решениям;16;10;ACCEPTED
Приглашаю на дизайн-ревью;16;1;ACCEPTED
Было бы здорово услышать ваше мнение;16;6;PENDING
;17;1;ACCEPTED
Приглашаю на интервью с кандидатом;17;11;ACCEPTED
Нужна помощь в оценке кандидата;17;7;ACCEPTED
;18;7;ACCEPTED
Обсудим задачи на ближайший спринт;18;14;ACCEPTED
Жду вас на планировании;18;1;ACCEPTED
;19;5;ACCEPTED
Обсудим автоматизацию процессов;19;8;ACCEPTED
Обсудим автотесты;19;1;ACCEPTED
;20;1;ACCEPTED
Важная демонстрация для стейкхолдеров;20;7;ACCEPTED
Приглашаю на демо;20;6;ACCEPTED
Покажем новые фичи;20;13;ACCEPTED
Ваше присутствие важно;20;3;ACCEPTED
Жду вас на демонстрации;20;4;ACCEPTED
;21;2;ACCEPTED
Обсудим улучшения CI/CD;21;1;ACCEPTED
Нужна ваша помощь с деплоем;21;7;PENDING
;22;1;ACCEPTED
Всем присутствовать обязательно;22;2;ACCEPTED
Важные объявления для всех;22;3;ACCEPTED
Не пропустите общее собрание;22;4;ACCEPTED
Обязательная встреча для отдела;22;5;ACCEPTED
Важная информация для всех;22;6;ACCEPTED
Ждем всех на собрании;22;7;ACCEPTED
Всем присутствовать;22;8;ACCEPTED
Важные новости от руководства;22;9;ACCEPTED
Приглашаю всех на общую встречу;22;10;ACCEPTED
Обязательное присутствие;22;11;ACCEPTED
Не пропустите важное собрание;22;12;ACCEPTED
Ждем вас на общем собрании;22;13;ACCEPTED
Важная встреча для всех;22;14;ACCEPTED
Присутствие обязательно для всех;22;15;ACCEPTED
;23;6;ACCEPTED
Приглашаю на код-ревью;23;1;ACCEPTED
Нужен ревью frontend кода;23;7;ACCEPTED
;24;13;ACCEPTED
Обсудим код Android приложения;24;15;ACCEPTED
Жду вас на ревью;24;1;ACCEPTED
;25;3;ACCEPTED
Презентую отчет по кампании;25;9;ACCEPTED
Отчет готов к презентации;25;1;ACCEPTED
;26;4;ACCEPTED
Креативная мозговая штурм-сессия;26;10;ACCEPTED
Креативная сессия по дизайну;26;1;ACCEPTED
Ждем ваших идей;26;6;PENDING
;27;11;ACCEPTED
Обсудим программу бенефитов;27;12;ACCEPTED
Важная HR встреча;27;1;ACCEPTED
;28;14;ACCEPTED
Синхронизация backend команды;28;7;ACCEPTED
Обсудим backend задачи;28;1;ACCEPTED
;29;1;ACCEPTED
Еженедельный стендап команды;29;6;ACCEPTED
Жду всех на стендапе;29;7;ACCEPTED
Отчитайтесь по прогрессу;29;13;ACCEPTED
Нужен ваш статус по задачам;29;14;ACCEPTED
