user_id;meeting_id;accepted
1;1;null
1;2;true
3;1;false
2;3;true
1;4;true
2;5;null
3;2;true
1;6;false
2;1;null
3;7;true
1;8;true
2;9;false
3;3;null
1;10;true
2;4;true
3;11;false
1;12;null
2;13;true
3;5;true
1;14;false
2;6;null
3;15;true
1;7;true
2;16;false
3;8;null
4;2;true
5;9;false
6;10;null
7;11;true
8;12;false
9;13;null
10;14;true
11;15;false
12;16;null
13;17;true
14;18;false
15;19;null
16;20;true
17;1;false
18;2;null
19;3;true
20;4;false
21;5;null
22;6;true
23;7;false
24;8;null
25;9;true
1;17;true
2;18;null
3;19;false
1;20;true
