id,meeting_id,user_id,status,created_at,updated_at
1,1,2,PENDING,2024-01-16 14:00:00,2024-01-16 14:00:00
2,1,3,ACCEPTED,2024-01-16 14:00:00,2024-01-17 09:00:00
3,1,4,PENDING,2024-01-16 14:00:00,2024-01-16 14:00:00
4,2,1,ACCEPTED,2024-01-16 15:00:00,2024-01-17 10:00:00
5,2,3,PENDING,2024-01-16 15:00:00,2024-01-16 15:00:00
6,2,5,REJECTED,2024-01-16 15:00:00,2024-01-17 11:00:00
7,3,2,ACCEPTED,2024-01-17 09:00:00,2024-01-17 12:00:00
8,3,3,ACCEPTED,2024-01-17 09:00:00,2024-01-17 12:00:00
9,3,4,PENDING,2024-01-17 09:00:00,2024-01-17 09:00:00
10,4,1,ACCEPTED,2024-01-17 16:00:00,2024-01-18 08:00:00
11,4,2,ACCEPTED,2024-01-17 16:00:00,2024-01-18 08:00:00
12,4,5,PENDING,2024-01-17 16:00:00,2024-01-17 16:00:00
13,5,1,ACCEPTED,2024-01-18 10:00:00,2024-01-18 14:00:00
14,5,2,ACCEPTED,2024-01-18 10:00:00,2024-01-18 14:00:00
15,5,3,ACCEPTED,2024-01-18 10:00:00,2024-01-18 14:00:00
